Group Name,A/c name,wing,unit,Amount Type(Debit or Credit),Amount(Opening Balance),Penalty 
Members Control Accounts,Mr Temp,Wing A,110,Credit,1000,
Members Control Accounts,Mr Temp,Wing B,203,Debit,500,
Members Control Accounts,abc,Wing A,1101,Debit,1000,
Members Control Accounts,xyz,Wing A,1102,Credit,1500,
Members Control Accounts,sort1,Wing A,1001,Debit,1500,
Members Control Accounts,sort2,Wing A,1002,Debit,500,
Members Control Accounts,ashish,Wing A,103,Credit,1000,
Members Control Accounts,Sudhir,Wing B,201,Debit,500,
Members Control Accounts,Dr. D K Joshi,Wing C,308,Debit,1000,
Members Control Accounts,Dr. D K Joshi,Wing A,101,Credit,1500,
Members Control Accounts,Dr. D K Joshi,Wing A,105,Debit,500,
Members Control Accounts,Abhilash,Wing A,102,Credit,2000,
Members Control Accounts,Ankit,Wing B,202,Debit,1500,
